Ticker,Sector,Fiscal Year,PS/Growth,GM %,GM Erosion,ROIC %,Inv Days,Inv Trend,Rule 40,Share Growth %,Pricing Power,Price Start,Price End,Price_Change% (2025-01-01 → today)
NVDA,Major Processors,2024-01-31,0.55,72.7,-15.8,54.4,115,-46.1,170.2,-0.09,Strong,138.26,172.7,24.9
AMD,Major Processors,2024-12-31,0.93,49.4,-3.2,2.7,160,30.3,23.0,0.37,Weak,120.63,201.33,66.9
INTC,Major Processors,2024-12-31,999.0,32.7,7.4,-10.9,124,-0.4,-31.6,2.41,Weak,20.22,43.87,117.0
AVGO,Major Processors,2024-10-31,0.64,63.0,5.9,5.8,33,-28.6,81.6,13.19,Weak,229.9,310.51,35.1
ARM,Major Processors,2024-03-31,2.06,95.2,0.8,2.6,0,0.0,50.0,1.47,Strong,128.2,132.35,3.2
MU,Memory & Storage,2024-08-31,0.3,22.4,-31.5,1.9,166,-14.4,62.1,0.99,Strong,87.04,422.9,385.8
RMBS,Memory & Storage,2024-12-31,0.85,80.2,-2.6,14.4,147,20.4,56.6,-0.94,Strong,53.5,91.7,71.4
TSM,Foundries,2024-12-31,0.09,56.1,-1.8,21.8,82,-10.1,63.6,0.0,Strong,198.34,329.24,66.0
GFS,Foundries,2024-12-31,999.0,24.5,4.0,-0.7,116,13.7,7.6,-0.11,Weak,42.48,43.08,1.4
UMC,Foundries,2024-12-31,0.11,32.6,2.4,9.8,83,-6.7,5.5,0.25,Weak,6.14,9.12,48.5
TSEM,Foundries,2024-12-31,13.45,23.6,1.2,7.6,89,-7.2,1.8,0.65,Weak,51.55,163.63,217.4
ASX,Foundries,2024-12-31,0.07,16.3,-0.5,7.8,44,-2.4,3.8,0.71,Weak,9.67,21.31,120.3
QCOM,Connectivity,2024-09-30,0.42,56.2,-0.5,24.2,137,-10.3,37.4,-0.09,Weak,149.32,129.9,-13.0
MRVL,Connectivity,2024-01-31,999.0,41.6,8.8,-3.5,98,-34.8,11.6,1.1,Weak,113.12,87.91,-22.3
ALAB,Connectivity,2024-12-31,0.2,76.4,-7.4,-12.2,168,-76.0,268.1,6.24,Strong,134.63,116.04,-13.8
CRDO,Connectivity,2024-04-30,18.48,61.9,-4.2,-8.1,128,-86.8,13.6,10.53,Weak,70.93,103.4,45.8
QRVO,Connectivity,2024-03-31,0.35,39.5,-3.2,-2.6,113,-14.2,24.3,-2.89,Weak,69.76,78.16,12.0
SWKS,Connectivity,2024-09-30,999.0,41.2,3.0,8.1,116,-36.8,26.8,0.25,Weak,83.87,54.44,-35.1
SYNA,Connectivity,2024-06-30,999.0,45.8,7.0,2.3,80,1.7,-32.5,2.58,Weak,82.48,71.03,-13.9
TXN,Analog & Power,2024-12-31,999.0,58.1,4.8,16.5,252,27.8,-1.1,0.24,Weak,179.9,187.19,4.1
ADI,Analog & Power,2024-10-31,999.0,57.1,6.9,4.3,130,-4.8,9.7,0.01,Weak,207.27,309.43,49.3
NXPI,Analog & Power,2024-12-31,999.0,56.4,0.5,13.5,156,20.4,10.1,-1.11,Weak,202.41,191.37,-5.5
MCHP,Analog & Power,2024-03-31,999.0,65.4,2.1,15.4,182,5.6,24.6,-1.61,Weak,54.82,62.97,14.9
ON,Analog & Power,2024-12-31,999.0,45.4,1.6,12.8,211,35.3,2.9,-0.8,Weak,61.71,59.26,-4.0
STM,Analog & Power,2024-12-31,999.0,39.3,8.6,7.8,126,17.3,-24.9,-0.51,Weak,23.98,30.86,28.7
VSH,Analog & Power,2024-12-31,999.0,21.3,7.3,9.2,108,11.5,-18.6,-1.44,Weak,16.16,16.65,3.0
ALGM,Analog & Power,2024-03-31,0.71,54.8,1.3,11.4,124,-4.4,13.2,0.74,Weak,22.81,29.95,31.3
POWI,Analog & Power,2024-12-31,999.0,53.6,-2.1,2.4,311,35.0,9.5,0.17,Weak,59.38,46.45,-21.8
NVTS,Emerging/Small Cap,2024-12-31,4.08,34.0,5.1,-24.0,102,-64.9,-73.9,4.98,Weak,3.49,8.75,150.7
POET,Emerging/Small Cap,2024-12-31,999.0,0.0,0.0,-265.5,0,0.0,-73159.5,80.07,Weak,6.17,5.93,-3.9
LAES,Emerging/Small Cap,2024-12-31,999.0,33.9,12.8,-23.6,71,-47.9,-170.7,499.17,Weak,8.67,2.96,-65.9
INDI,Emerging/Small Cap,2024-12-31,999.0,41.7,-1.5,-15.8,144,53.5,-37.4,15.91,Weak,4.21,2.56,-39.2
LSCC,Emerging/Small Cap,2024-12-31,999.0,66.8,3.0,13.8,223,61.2,-10.6,0.27,Weak,55.95,88.62,58.4
MXL,Emerging/Small Cap,2024-12-31,999.0,54.0,1.6,-34.3,198,80.4,-67.1,3.42,Weak,19.57,16.56,-15.4
SKYT,Emerging/Small Cap,2024-12-31,0.2,20.3,0.3,4.6,19,-5.2,21.5,1.44,Strong,13.47,27.54,104.5
HIMX,Emerging/Small Cap,2024-12-31,999.0,30.5,-2.6,9.0,91,-24.4,7.2,0.1,Weak,7.19,8.59,19.5
MTSI,Emerging/Small Cap,2024-09-30,1.73,54.0,5.5,4.9,211,22.0,31.3,1.7,Weak,129.43,218.96,69.2
